name,color_hex,color_human,group_numb,button,show_size
Tuft_cell,#FF0000,red,0,mouse_left,1
Junk,#FFFF00,yellow,0,mouse_right,1
Spheroid,#0000FF,blue,1,mouse_left,5
Budding,#00FF00,green,1,mouse_right,5
