name,color_hex,color_human,group_numb,button,show_size
Spheroid,#00BFFF,blue,1,mouse_left,1
Budding,#90EE90,green,1,mouse_right,1
Exploded,#B22222,red,2,mouse_left,1
Junk,#FFFF00,yellow,2,mouse_right,1
